step,n_measurements,n_landmarks,pose_error_m,heading_error_rad,pose_uncertainty,nees_pose,avg_landmark_error_m,max_landmark_error_m,avg_landmark_uncertainty,max_landmark_uncertainty
235,7,15,0.336341,0.091041,0.352872,2.791684,0.437365,0.601611,0.160105,0.279581
236,7,15,0.596284,0.053105,0.35166,6.643515,0.444478,0.611008,0.159979,0.279256
237,7,15,0.560142,0.021045,0.34992,7.052173,0.441099,0.604223,0.159838,0.278919
238,7,15,0.425044,0.002384,0.348641,3.270497,0.417647,0.567264,0.159664,0.278488
239,7,15,0.242106,0.013953,0.348579,1.108959,0.419791,0.571904,0.159526,0.278132
240,7,15,0.323399,0.023227,0.349346,2.51497,0.422872,0.575425,0.159372,0.277753
241,7,15,0.178314,0.01353,0.348338,0.497308,0.423281,0.575424,0.159251,0.277464
242,7,15,0.165907,0.002341,0.348032,0.571613,0.424333,0.575905,0.159126,0.277156
243,7,15,0.355076,0.061345,0.347664,3.292636,0.420833,0.570743,0.158948,0.276758
244,7,15,0.222826,0.054851,0.346382,1.311405,0.405949,0.548275,0.158781,0.276365
245,7,15,0.353637,0.024537,0.348989,3.360311,0.414661,0.560474,0.158575,0.275888
246,7,15,0.482653,0.088635,0.349752,5.711436,0.41122,0.55467,0.158356,0.2754
247,6,15,0.314769,0.057093,0.360988,2.35883,0.415342,0.561422,0.15824,0.275146
248,6,15,0.173346,0.00982,0.36756,0.628411,0.410425,0.554327,0.158114,0.274855
249,6,15,0.262109,0.022203,0.371134,0.713049,0.406049,0.547662,0.157984,0.274549
250,6,15,0.342809,0.079361,0.372956,1.351421,0.399249,0.536933,0.157862,0.274285
251,7,15,0.327633,0.024571,0.372328,1.402365,0.396131,0.531691,0.157736,0.274047
252,9,15,0.438239,0.075925,0.368238,2.426466,0.392411,0.541362,0.157491,0.273613
253,9,15,0.37589,0.027206,0.367884,2.104769,0.387723,0.556167,0.157339,0.273326
254,7,15,0.457407,0.039483,0.370861,2.827665,0.385266,0.553787,0.157205,0.273069
255,7,15,0.343368,0.036947,0.37246,1.713803,0.402058,0.579925,0.157075,0.27278
256,7,15,0.577037,0.002551,0.373698,5.934933,0.401606,0.580087,0.156932,0.272467
257,7,15,0.340115,0.031306,0.373908,2.041998,0.393894,0.567627,0.156811,0.272209
258,9,15,0.315987,0.029161,0.369797,2.494914,0.396127,0.55979,0.156658,0.271941
259,9,15,0.322539,0.014173,0.36875,2.335172,0.387266,0.542598,0.156479,0.27163
260,9,15,0.420752,0.018929,0.368764,3.989501,0.379714,0.541898,0.15631,0.271332
261,8,15,0.413959,0.054912,0.370685,3.883352,0.375344,0.512581,0.156167,0.271067
262,8,15,0.2726,0.009439,0.371417,1.490058,0.370344,0.508746,0.156006,0.270753
263,9,15,0.334234,0.039336,0.369434,2.367871,0.375534,0.511676,0.155841,0.270452
264,9,15,0.602213,0.002874,0.368729,5.042854,0.368855,0.495725,0.155672,0.270155
265,9,15,0.487711,0.015045,0.368859,3.505348,0.362366,0.486074,0.15552,0.269867
266,9,15,0.378802,0.028956,0.36838,2.860727,0.353157,0.455225,0.155377,0.269628
267,9,15,0.344953,0.09746,0.36858,2.581315,0.34483,0.424464,0.15522,0.269349
268,9,15,0.331345,0.070662,0.368692,1.677472,0.356129,0.46196,0.154985,0.268864
269,9,15,0.235178,0.005393,0.368121,1.093195,0.355041,0.463741,0.154839,0.268605
270,8,15,0.199195,0.009216,0.369761,0.603259,0.344484,0.42806,0.154675,0.268297
271,8,15,0.434588,0.007707,0.370378,3.769753,0.344978,0.431046,0.154527,0.268033
272,8,15,0.236696,0.012637,0.370102,1.354035,0.344357,0.430318,0.154323,0.267645
273,8,15,0.179582,0.007339,0.370101,0.769003,0.328155,0.414931,0.154166,0.267378
274,8,15,0.102483,0.040315,0.370484,0.225845,0.320468,0.410957,0.154031,0.267123
275,9,15,0.083077,0.087708,0.366355,0.075113,0.320954,0.411529,0.153754,0.266577
276,9,15,0.022357,0.093942,0.366538,0.006409,0.316892,0.410625,0.153618,0.266334
277,9,15,0.086969,0.060339,0.36708,0.140572,0.309871,0.409642,0.153477,0.266078
278,9,15,0.250268,0.035776,0.366926,1.348126,0.31695,0.409948,0.153277,0.265706
279,9,15,0.332515,0.046396,0.365108,2.420096,0.325257,0.414878,0.153098,0.265387
280,7,15,0.404746,0.02708,0.381113,1.926036,0.340023,0.4307,0.152991,0.265203
281,7,15,0.287274,0.03641,0.391006,0.815911,0.343759,0.433312,0.152901,0.265033
282,7,15,0.286872,0.011771,0.396348,1.261345,0.341099,0.429173,0.152808,0.264872
283,7,15,0.294557,0.03236,0.399358,1.343105,0.341583,0.434161,0.152714,0.264711
284,7,15,0.502517,0.046252,0.399276,4.536043,0.328699,0.423596,0.152605,0.264479
285,6,15,0.521061,0.012093,0.404871,3.627517,0.324,0.419909,0.152506,0.264299
286,6,15,0.376315,0.01365,0.408619,2.173609,0.323041,0.417816,0.152416,0.264118
287,8,15,0.521428,0.055457,0.405466,5.218291,0.322317,0.41624,0.152263,0.263888
288,6,15,0.492821,0.051376,0.410359,4.259993,0.327722,0.421025,0.152177,0.263719
289,6,15,0.680695,0.062385,0.413537,7.986619,0.328483,0.42166,0.152093,0.263572
290,6,15,0.372628,0.062027,0.415662,2.29758,0.328982,0.421566,0.152012,0.263415
291,6,15,0.327622,0.065162,0.417018,1.968606,0.331697,0.433501,0.151932,0.263257
292,6,15,0.532406,0.024726,0.418254,5.16164,0.324215,0.428076,0.151847,0.263101
293,8,15,0.61368,0.009783,0.413,7.02833,0.321121,0.42621,0.151747,0.262922
294,8,15,0.581867,0.02814,0.41128,6.559269,0.319475,0.414883,0.151646,0.262744
295,6,15,0.572685,0.044032,0.415383,5.981559,0.320359,0.415392,0.151562,0.262582
296,6,15,0.580808,0.059757,0.417765,6.158748,0.313953,0.407658,0.151476,0.262406
297,6,15,0.372885,0.006262,0.419287,2.509146,0.317952,0.411848,0.151391,0.26223
